Route_ID,Route_Name,Action_Taken,New_Route_ID,Route_KM,OSRM_Duration_S,Cycle_Time_Min,Sharp_Turns,Junction_Penalty_Min,Fleet_Required,Total_Minibuses_Existing,Headway_Min,Population_Served,HV_POI_Count,Residential_Score,Commercial_Score,Composite_Demand_Score,Old_Wait_Time,New_Wait_Time,Overlap_Metric,Geo_Source,Fleet_Imputed,View_Map
R0299,JANIPUR ↔ LADORE,RETAINED_AS_FEEDER,FDR-125,19.665,1226.2,57.4,9,4.5,4,3.0,15,132071,7,6716.04,355.96,7072.0,20,15,0.1645,OSRM,True,"<a href=""route_maps/FDR-125.html"">View Map</a>"
R0301,JANIPUR ↔ BARI BRAHMANA,RETAINED_AS_FEEDER,FDR-056,20.469,1419.5,62.5,7,3.5,5,3.0,15,165959,15,8107.82,659.53,8767.35,21,15,0.2197,OSRM,True,"<a href=""route_maps/FDR-056.html"">View Map</a>"
R0302,JANIPUR ↔ LAHORI CHAK,RETAINED_AS_FEEDER,FDR-284,18.955,2018.2,95.8,16,8.0,7,3.0,15,68918,0,3635.87,0.0,3635.87,32,15,0.0407,OSRM,True,"<a href=""route_maps/FDR-284.html"">View Map</a>"
R0304,JANIPUR ↔ KHAIRI REHAL,RETAINED_AS_FEEDER,FDR-298,22.789,2038.9,92.0,12,6.0,7,4.0,15,61783,6,2711.09,230.37,2941.46,23,15,0.075,OSRM,True,"<a href=""route_maps/FDR-298.html"">View Map</a>"
R0305,JANIPUR ↔ CHANNI HIMMAT,RETAINED_AS_FEEDER,FDR-088,13.732,937.9,48.6,11,5.5,4,2.0,15,102683,10,7477.64,673.61,8151.25,25,15,0.1949,OSRM,True,"<a href=""route_maps/FDR-088.html"">View Map</a>"
R0308,JANIPUR ↔ KULWAL,RETAINED_AS_FEEDER,FDR-188,36.34,2917.2,129.1,15,7.5,9,5.0,15,194588,16,5354.65,399.01,5753.66,26,15,0.1532,OSRM,True,"<a href=""route_maps/FDR-188.html"">View Map</a>"
R0310,JANIPUR ↔ CHATHA,RETAINED_AS_FEEDER,FDR-033,9.745,615.4,30.5,6,3.0,3,2.0,15,84435,10,8664.44,872.24,9536.68,16,15,0.2906,OSRM,True,"<a href=""route_maps/FDR-033.html"">View Map</a>"
R0311,JANIPUR ↔ KHAIRI REHAL,RETAINED_AS_FEEDER,FDR-308,22.592,1840.7,78.6,7,3.5,6,4.0,15,50535,6,2236.85,265.58,2502.43,20,15,0.0787,OSRM,True,"<a href=""route_maps/FDR-308.html"">View Map</a>"
R0313,JANIPUR ↔ BADHORI,RETAINED_AS_FEEDER,FDR-234,46.262,3347.5,145.6,15,7.5,10,7.0,15,219792,16,4751.03,313.43,5064.46,21,15,0.1158,OSRM,True,"<a href=""route_maps/FDR-234.html"">View Map</a>"
R0316,JANIPUR ↔ LAKKAR MANDI GANDHI NAGAR,RETAINED_AS_FEEDER,FDR-206,27.886,1864.5,93.3,19,9.5,7,4.0,15,147221,10,5279.39,304.81,5584.2,24,15,0.2171,OSRM,True,"<a href=""route_maps/FDR-206.html"">View Map</a>"
R0317,JANIPUR ↔ KANA CHAK LALYAL,RETAINED_AS_FEEDER,FDR-181,26.907,1711.8,76.0,9,4.5,6,4.0,15,150098,7,5578.4,260.16,5838.56,19,15,0.1291,OSRM,True,"<a href=""route_maps/FDR-181.html"">View Map</a>"
R0319,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-147,22.904,1689.8,70.5,5,2.5,5,4.0,15,135724,12,5925.78,458.44,6384.22,18,15,0.164,OSRM,True,"<a href=""route_maps/FDR-147.html"">View Map</a>"
R0321,JANIPUR ↔ KUNJWANI B C ROAD,RETAINED_AS_FEEDER,FDR-054,17.066,1096.4,52.4,9,4.5,4,3.0,15,139760,12,8189.38,659.21,8848.59,18,15,0.1564,OSRM,True,"<a href=""route_maps/FDR-054.html"">View Map</a>"
R0322,JANIPUR ↔ SUNJWAN,RETAINED_AS_FEEDER,FDR-118,16.396,1446.3,65.8,9,4.5,5,3.0,15,111262,9,6785.92,503.17,7289.09,22,15,0.1639,OSRM,True,"<a href=""route_maps/FDR-118.html"">View Map</a>"
R0323,JANIPUR ↔ GHO MANHASAN,RETAINED_AS_FEEDER,FDR-247,13.428,1286.8,62.0,11,5.5,5,2.0,15,62576,0,4660.11,0.0,4660.11,31,15,0.0485,OSRM,True,"<a href=""route_maps/FDR-247.html"">View Map</a>"
R0324,JANIPUR ↔ SHASTRI NAGAR,RETAINED_AS_FEEDER,FDR-036,10.305,835.4,45.8,12,6.0,4,2.0,15,89853,10,8719.36,752.06,9471.42,23,15,0.2042,OSRM,True,"<a href=""route_maps/FDR-036.html"">View Map</a>"
R0325,JANIPUR ↔ PATTI,RETAINED_AS_FEEDER,FDR-246,31.237,1526.3,62.0,3,1.5,5,5.0,15,134069,13,4291.99,368.15,4660.14,13,15,0.1252,OSRM,True,"<a href=""route_maps/FDR-246.html"">View Map</a>"
R0327,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-196,40.959,3276.1,148.6,20,10.0,10,6.0,15,220640,13,5386.85,299.08,5685.93,25,15,0.1475,OSRM,True,"<a href=""route_maps/FDR-196.html"">View Map</a>"
R0332,JANIPUR ↔ KARWAL,RETAINED_AS_FEEDER,FDR-268,21.053,1609.2,67.4,5,2.5,5,3.0,15,80214,7,3810.1,296.87,4106.97,23,15,0.1474,OSRM,True,"<a href=""route_maps/FDR-268.html"">View Map</a>"
R0334,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-154,23.046,1333.7,59.2,7,3.5,4,4.0,15,134501,13,5836.2,499.0,6335.2,15,15,0.1696,OSRM,True,"<a href=""route_maps/FDR-154.html"">View Map</a>"
R0336,JANIPUR ↔ BHATHINDI,RETAINED_AS_FEEDER,FDR-117,12.556,911.6,46.4,10,5.0,4,2.0,15,84484,8,6728.58,577.41,7305.99,24,15,0.2161,OSRM,True,"<a href=""route_maps/FDR-117.html"">View Map</a>"
R0338,JANIPUR ↔ BARI BRAHMANA IND  COMPLEX,RETAINED_AS_FEEDER,FDR-122,28.917,2140.8,97.0,13,6.5,7,4.0,15,193686,13,6698.0,423.63,7121.63,25,15,0.1791,OSRM,True,"<a href=""route_maps/FDR-122.html"">View Map</a>"
R0339,JANIPUR ↔ KOTLI MIAN FETHY,RETAINED_AS_FEEDER,FDR-239,31.083,2324.1,104.0,13,6.5,7,5.0,15,141628,13,4556.45,369.98,4926.43,21,15,0.1237,OSRM,True,"<a href=""route_maps/FDR-239.html"">View Map</a>"
R0340,JANIPUR ↔ SMAILPUR,RETAINED_AS_FEEDER,FDR-078,22.367,1384.5,61.1,7,3.5,5,3.0,15,173395,15,7752.27,603.57,8355.84,21,15,0.1972,OSRM,True,"<a href=""route_maps/FDR-078.html"">View Map</a>"
R0341,JANIPUR ↔ MISHRIWALA,RETAINED_AS_FEEDER,FDR-113,19.548,1070.7,51.4,9,4.5,4,3.0,15,136867,7,7001.59,358.09,7359.68,18,15,0.1712,OSRM,True,"<a href=""route_maps/FDR-113.html"">View Map</a>"
R0345,JANIPUR ↔ CHATHA,RETAINED_AS_FEEDER,FDR-140,17.956,1273.9,60.3,10,5.0,5,3.0,15,111555,8,6212.69,403.76,6616.45,21,15,0.203,OSRM,True,"<a href=""route_maps/FDR-140.html"">View Map</a>"
R0348,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-156,32.747,2617.6,118.7,16,8.0,8,5.0,15,193458,15,5907.66,412.25,6319.91,24,15,0.1618,OSRM,True,"<a href=""route_maps/FDR-156.html"">View Map</a>"
R0351,JANIPUR ↔ SMAILPUR,RETAINED_AS_FEEDER,FDR-079,22.367,1384.5,61.1,7,3.5,5,3.0,15,173395,15,7752.27,603.57,8355.84,21,15,0.1972,OSRM,True,"<a href=""route_maps/FDR-079.html"">View Map</a>"
R0352,JANIPUR ↔ GREATER KAILASH FAWARA CHOWK,RETAINED_AS_FEEDER,FDR-043,18.106,1226.6,67.7,18,9.0,5,3.0,15,152227,16,8407.54,759.42,9166.96,23,15,0.1732,OSRM,True,"<a href=""route_maps/FDR-043.html"">View Map</a>"
R0358,JANIPUR ↔ BARIBRAHMAN,RETAINED_AS_FEEDER,FDR-062,20.706,1482.3,67.2,9,4.5,5,3.0,15,166528,15,8042.5,651.98,8694.48,23,15,0.2111,OSRM,True,"<a href=""route_maps/FDR-062.html"">View Map</a>"
