Old_Route_ID,Old_Name,Action_Taken,New_Route_ID,Residential_Score,Commercial_Score,Composite_Demand_Score,Overlap_Metric,Population_Served,Old_Wait_Time,New_Wait_Time,Fleet_Required,Route_KM,HV_POI_Count,Sharp_Turns,Junction_Penalty_Min,OSRM_Duration_S,Cycle_Time_Min,Geo_Source,Fleet_Imputed,Reasoning_String
R0017,AMPHALA ↔ TRIKUTA NAGAR G  KALISH,UPGRADED_TO_TRUNK,TRK-005,9603.22,1708.95,11312.17,0.2502,63218,26,5,6,6.583,12,7,3.5,454.6,25.5,OSRM,True,"Route R0017 (AMPHALA ↔ TRIKUTA NAGAR G  KALISH) upgraded to Trunk TRK-005. Highest Gravity Score in cluster: residential 9603.2/km + commercial 1709.0/km. Serves ~63,218 residents across 6.6 km. OSRM cycle time includes 7 sharp turns adding 4 min penalty. Fleet of 6 minibuses reduces wait from 26 to 5 min."
R0019,AMPHALLA ↔ BADHORI,RETAINED_AS_FEEDER,FDR-211,5150.34,417.32,5567.66,0.1043,191294,5,15,6,37.142,17,3,1.5,2189.3,87.4,OSRM,False,"Route R0019 (AMPHALLA ↔ BADHORI) retained as Feeder FDR-211. Distinct catchment of 191,294 residents across 37.1 km (overlap 10.4%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 6 minibuses targets 15-min headway (from 5 min currently). Residential score 5150.3/km | Commercial score 417.3/km."
R0022,AMPHALLA ↔ KHIYARIAN CAMP,RETAINED_AS_FEEDER,FDR-058,7878.03,829.02,8707.05,0.1134,76023,17,15,3,9.65,8,3,1.5,788.5,33.7,OSRM,True,"Route R0022 (AMPHALLA ↔ KHIYARIAN CAMP) retained as Feeder FDR-058. Distinct catchment of 76,023 residents across 9.7 km (overlap 11.3%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 3 minibuses targets 15-min headway (from 17 min currently). Residential score 7878.0/km | Commercial score 829.0/km."
R0023,AMPHALLA ↔ SARORE,RETAINED_AS_FEEDER,FDR-084,7442.6,759.47,8202.07,0.1761,151896,21,15,5,20.409,17,6,3.0,1402.0,60.6,OSRM,True,"Route R0023 (AMPHALLA ↔ SARORE) retained as Feeder FDR-084. Distinct catchment of 151,896 residents across 20.4 km (overlap 17.6%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 5 minibuses targets 15-min headway (from 21 min currently). Residential score 7442.6/km | Commercial score 759.5/km."
R0024,AMPHALLA ↔ MANDIA MANKA KHOUR,RETAINED_AS_FEEDER,FDR-260,3992.63,444.22,4436.85,0.1342,92126,9,15,6,23.074,11,10,5.0,1826.6,81.5,OSRM,False,"Route R0024 (AMPHALLA ↔ MANDIA MANKA KHOUR) retained as Feeder FDR-260. Distinct catchment of 92,126 residents across 23.1 km (overlap 13.4%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 6 minibuses targets 15-min headway (from 9 min currently). Residential score 3992.6/km | Commercial score 444.2/km."
R0025,AMPHALLA ↔ KHERIAN,RETAINED_AS_FEEDER,FDR-070,7682.84,797.99,8480.83,0.1748,158858,18,15,4,20.677,18,4,2.0,1254.5,52.7,OSRM,True,"Route R0025 (AMPHALLA ↔ KHERIAN) retained as Feeder FDR-070. Distinct catchment of 158,858 residents across 20.7 km (overlap 17.5%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 4 minibuses targets 15-min headway (from 18 min currently). Residential score 7682.8/km | Commercial score 798.0/km."
R0027,AMPHALLA ↔ MUTHI CAMP PHASE 2ND,RETAINED_AS_FEEDER,FDR-017,9345.09,1041.18,10386.27,0.2138,80779,13,15,2,8.644,9,5,2.5,506.0,25.1,OSRM,True,"Route R0027 (AMPHALLA ↔ MUTHI CAMP PHASE 2ND) retained as Feeder FDR-017. Distinct catchment of 80,779 residents across 8.6 km (overlap 21.4%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 2 minibuses targets 15-min headway (from 13 min currently). Residential score 9345.1/km | Commercial score 1041.2/km."
R0028,AMPHALLA ↔ KHERI REHAL,RETAINED_AS_FEEDER,FDR-242,4365.99,484.27,4850.26,0.1081,112695,5,15,6,25.812,14,8,4.0,2001.3,85.9,OSRM,False,"Route R0028 (AMPHALLA ↔ KHERI REHAL) retained as Feeder FDR-242. Distinct catchment of 112,695 residents across 25.8 km (overlap 10.8%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 6 minibuses targets 15-min headway (from 5 min currently). Residential score 4366.0/km | Commercial score 484.3/km."
R0029,AMPHALLA ↔ KATTAL BATAL,MERGED_INTO_TRUNK,TRK-002,2329.03,150.62,2479.65,0.0341,34791,11,5,11,14.938,3,6,3.0,1197.4,52.8,OSRM,False,"Route R0029 (AMPHALLA ↔ KATTAL BATAL) merged into Trunk TRK-002. Spatial overlap 3.4%; low independent demand (34,791 residents). Transfer penalty check confirmed merging improves or matches direct service (wait: 11 → 5 min via Trunk). Redundant operations eliminated."
R0030,AMPHALLA ↔ KHERI REHAL,RETAINED_AS_FEEDER,FDR-243,4365.99,484.27,4850.26,0.1081,112695,22,15,6,25.812,14,8,4.0,2001.3,85.9,OSRM,True,"Route R0030 (AMPHALLA ↔ KHERI REHAL) retained as Feeder FDR-243. Distinct catchment of 112,695 residents across 25.8 km (overlap 10.8%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 6 minibuses targets 15-min headway (from 22 min currently). Residential score 4366.0/km | Commercial score 484.3/km."
R0031,AMPHALLA ↔ GANGYAL,RETAINED_AS_FEEDER,FDR-254,4367.75,207.26,4575.01,0.1079,89565,6,15,6,20.506,5,14,7.0,1661.5,79.8,OSRM,False,"Route R0031 (AMPHALLA ↔ GANGYAL) retained as Feeder FDR-254. Distinct catchment of 89,565 residents across 20.5 km (overlap 10.8%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 6 minibuses targets 15-min headway (from 6 min currently). Residential score 4367.8/km | Commercial score 207.3/km."
R0035,AMPHALLA ↔ TALAB TILLO BOHRI,RETAINED_AS_FEEDER,FDR-014,9409.25,1302.3,10711.55,0.1762,57801,17,15,2,6.143,8,1,0.5,412.2,17.0,OSRM,True,"Route R0035 (AMPHALLA ↔ TALAB TILLO BOHRI) retained as Feeder FDR-014. Distinct catchment of 57,801 residents across 6.1 km (overlap 17.6%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 2 minibuses targets 15-min headway (from 17 min currently). Residential score 9409.2/km | Commercial score 1302.3/km."
R0037,AMPHALLA ↔ MISHRIWALA,RETAINED_AS_FEEDER,FDR-109,6862.63,517.09,7379.72,0.1493,119444,16,15,4,17.405,9,8,4.0,964.6,46.2,OSRM,True,"Route R0037 (AMPHALLA ↔ MISHRIWALA) retained as Feeder FDR-109. Distinct catchment of 119,444 residents across 17.4 km (overlap 14.9%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 4 minibuses targets 15-min headway (from 16 min currently). Residential score 6862.6/km | Commercial score 517.1/km."
R0038,AMPHALLA ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-159,5769.18,506.47,6275.65,0.1465,176560,5,15,8,30.604,17,15,7.5,2511.5,113.5,OSRM,False,"Route R0038 (AMPHALLA ↔ BISHNAH) retained as Feeder FDR-159. Distinct catchment of 176,560 residents across 30.6 km (overlap 14.6%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 8 minibuses targets 15-min headway (from 5 min currently). Residential score 5769.2/km | Commercial score 506.5/km."
R0042,AMPHALLA ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-248,4170.28,480.0,4650.28,0.1496,117289,10,15,5,28.125,15,9,4.5,1638.2,73.1,OSRM,False,"Route R0042 (AMPHALLA ↔ BISHNAH) retained as Feeder FDR-248. Distinct catchment of 117,289 residents across 28.1 km (overlap 15.0%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 5 minibuses targets 15-min headway (from 10 min currently). Residential score 4170.3/km | Commercial score 480.0/km."
R0048,AMPHALLA ↔ SIMBAL CAMP,RETAINED_AS_FEEDER,FDR-218,4864.55,522.92,5387.47,0.1415,104656,26,15,6,21.514,12,13,6.5,1604.5,76.5,OSRM,True,"Route R0048 (AMPHALLA ↔ SIMBAL CAMP) retained as Feeder FDR-218. Distinct catchment of 104,656 residents across 21.5 km (overlap 14.1%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 6 minibuses targets 15-min headway (from 26 min currently). Residential score 4864.6/km | Commercial score 522.9/km."
R0049,AMPHALLA ↔ SAMILPUR,RETAINED_AS_FEEDER,FDR-067,7800.76,775.54,8576.3,0.1896,155906,18,15,4,19.986,17,4,2.0,1215.6,51.2,OSRM,True,"Route R0049 (AMPHALLA ↔ SAMILPUR) retained as Feeder FDR-067. Distinct catchment of 155,906 residents across 20.0 km (overlap 19.0%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 4 minibuses targets 15-min headway (from 18 min currently). Residential score 7800.8/km | Commercial score 775.5/km."
R0050,AMPHALLA ↔ BARUIE KARWAL,RETAINED_AS_FEEDER,FDR-281,3313.54,436.28,3749.82,0.1245,62659,21,15,5,18.91,9,4,2.0,1503.1,62.2,OSRM,True,"Route R0050 (AMPHALLA ↔ BARUIE KARWAL) retained as Feeder FDR-281. Distinct catchment of 62,659 residents across 18.9 km (overlap 12.4%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 5 minibuses targets 15-min headway (from 21 min currently). Residential score 3313.5/km | Commercial score 436.3/km."
R0053,AMPHALLA ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,FDR-012,9286.49,1540.6,10827.09,0.2243,76855,20,15,3,8.276,15,12,6.0,664.3,39.3,OSRM,True,"Route R0053 (AMPHALLA ↔ TRIKUTA NAGAR) retained as Feeder FDR-012. Distinct catchment of 76,855 residents across 8.3 km (overlap 22.4%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 3 minibuses targets 15-min headway (from 20 min currently). Residential score 9286.5/km | Commercial score 1540.6/km."
